35#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10034#appfire##appfire##appfire#2.00#appfire#88.40#appfire#90.90#appfire#706246#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
36#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10035#appfire##appfire##appfire#1.00#appfire#64.37#appfire#72.73#appfire#701969#appfire#P-ADVANCE#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
37#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10036#appfire##appfire##appfire#1.00#appfire#114.79#appfire#143.48#appfire#707090#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
38#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10037#appfire##appfire##appfire#1.00#appfire#114.79#appfire#143.48#appfire#707473#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
39#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-19#appfire#7#appfire#2015#appfire#DLU10038#appfire##appfire##appfire#1.00#appfire#114.79#appfire#143.48#appfire#707472#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
40#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-09-30#appfire#9#appfire#2015#appfire#DLU10039#appfire##appfire##appfire#1.00#appfire#110.98#appfire#111.43#appfire#700253#appfire#SAFF KOCO#appfire#10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
41#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-09-30#appfire#9#appfire#2015#appfire#DLU10040#appfire##appfire##appfire#1.00#appfire#11.18#appfire#13.64#appfire#706878#appfire#SFOATS-FL#appfire#1#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
42#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-09-30#appfire#9#appfire#2015#appfire#DLU10041#appfire##appfire##appfire#1.00#appfire#117.28#appfire#143.48#appfire#707088#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
43#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-10-31#appfire#10#appfire#2015#appfire#DLU10042#appfire##appfire##appfire#1.00#appfire#4.36#appfire#4.55#appfire#707817#appfire#PA-BDYLOT#appfire#11#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
44#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-10-31#appfire#10#appfire#2015#appfire#DLU10043#appfire##appfire##appfire#1.00#appfire#17.34#appfire#18.18#appfire#707942#appfire#PA-BDYLOT#appfire#11#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
45#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-10-31#appfire#10#appfire#2015#appfire#DLU10044#appfire##appfire##appfire#1.00#appfire#17.68#appfire#18.18#appfire#707714#appfire#PADVJAS-R#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
46#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-11-25#appfire#11#appfire#2015#appfire#DLU10045#appfire##appfire##appfire#1.00#appfire#12.88#appfire#13.64#appfire#706878#appfire#SFOATS-FL#appfire#1#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
47#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2016-02-28#appfire#2#appfire#2016#appfire#DLU10046#appfire##appfire##appfire#3.00#appfire#39.24#appfire#40.92#appfire#706878#appfire#SFOATS-FL#appfire#1#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
48#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2016-05-23#appfire#5#appfire#2016#appfire#DLU10047#appfire##appfire##appfire#2.00#appfire#52.92#appfire#54.54#appfire#708167#appfire#HC SNS-B#appfire#11#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
49#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10048#appfire##appfire##appfire#1.00#appfire#33.55#appfire#33.91#appfire#707072#appfire#LIVON-CCC#appfire#9#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
50#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10049#appfire##appfire##appfire#1.00#appfire#8.33#appfire#9.09#appfire#707613#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
51#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10050#appfire##appfire##appfire#1.00#appfire#19.62#appfire#20.00#appfire#702418#appfire#MALO-NATU#appfire#7#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
52#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10051#appfire##appfire##appfire#1.00#appfire#8.74#appfire#9.09#appfire#702478#appfire#PADV-HRCR#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
53#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10052#appfire##appfire##appfire#1.00#appfire#20.41#appfire#20.91#appfire#700056#appfire#H&C#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
54#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10053#appfire##appfire##appfire#1.00#appfire#2.73#appfire#2.73#appfire#703866#appfire#HC SNS-B#appfire#4#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
55#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10054#appfire##appfire##appfire#1.00#appfire#2.59#appfire#2.73#appfire#706236#appfire#LIVON#appfire#4#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
56#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10055#appfire##appfire##appfire#1.00#appfire#7.18#appfire#7.27#appfire#708040#appfire#PCNO(R)#appfire#2#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
57#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10056#appfire##appfire##appfire#1.00#appfire#4.49#appfire#4.55#appfire#707608#appfire#MALT-NATU#appfire#7#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
58#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10057#appfire##appfire##appfire#1.00#appfire#15.86#appfire#16.36#appfire#707714#appfire#PADVJAS-R#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
59#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-07-25#appfire#7#appfire#2015#appfire#DLU10058#appfire##appfire##appfire#1.00#appfire#0.77#appfire#0.91#appfire#707819#appfire#PADV-SAC#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
60#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10059#appfire##appfire##appfire#1.00#appfire#77.82#appfire#81.82#appfire#706249#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
61#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10060#appfire##appfire##appfire#1.00#appfire#77.82#appfire#81.82#appfire#706248#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
62#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10061#appfire##appfire##appfire#1.00#appfire#43.45#appfire#45.45#appfire#706246#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
63#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10062#appfire##appfire##appfire#1.00#appfire#49.80#appfire#54.55#appfire#706237#appfire#LIVON SLP#appfire#4#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
64#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10063#appfire##appfire##appfire#1.00#appfire#101.43#appfire#118.18#appfire#707692#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
65#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10064#appfire##appfire##appfire#1.00#appfire#119.68#appfire#143.48#appfire#707090#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
66#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10065#appfire##appfire##appfire#1.00#appfire#43.45#appfire#45.45#appfire#706245#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
67#appfire#CHEMIST#appfire#518BSKIII111#appfire##appfire#2015-08-23#appfire#8#appfire#2015#appfire#DLU10066#appfire##appfire##appfire#1.00#appfire#119.68#appfire#143.48#appfire#707086#appfire#SW STLDEO#appfire#6#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
